"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-12-07 04:47:21 013756578_006_000_1","VOTE","","20,000.00","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","","YES"
"2021-12-07 04:47:21 013756578_006_000_0","MOVE VOTE","","20,000.00","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","20,000.00","Clean Money Sentiment - October 25, 2021","Yes",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","20,000.00","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-10-30 00:11:22 013515252_008_000_0","CHOOSE","","20,000.00","Clean Money Sentiment - October 25, 2021","Yes",""
"2021-10-27 00:59:34 013496321_001_000_0","CHOOSE","","20,000.00","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","20,000.00","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Yes",""
"2021-09-18 01:47:03 013246858_004_000_0","CHOOSE","","20,000.00","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Yes",""
"2021-08-20 03:48:07 013059828_012_000_1","VOTE","","20,000.00","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-20 03:48:07 013059828_012_000_0","MOVE VOTE","","20,000.00","Centrifuge Asset Onboarding - July 23, 2021","",""
"2021-07-31 00:03:40 012930051_007_000_1","VOTE","","20,000.00","Centrifuge Asset Onboarding - July 23, 2021","",""
"2021-07-31 00:03:40 012930051_007_000_0","MOVE VOTE","","20,000.00","FLAP Auction Adjustment and RWA-02 (NS-DROP) Debt Ceiling Increase - July 17, 2021","",""
"2021-07-23 15:58:35 012883539_009_000_1","VOTE","","20,000.00","FLAP Auction Adjustment and RWA-02 (NS-DROP) Debt Ceiling Increase - July 17, 2021","",""
"2021-07-23 15:58:35 012883539_009_000_0","MOVE VOTE","","20,000.00","Rates Changes, July Core Unit Budgets, and PSM DC-IAM - July 2, 2021","",""
"2021-07-14 08:22:09 012824048_001_000_1","VOTE","","20,000.00","Rates Changes, July Core Unit Budgets, and PSM DC-IAM - July 2, 2021","",""
"2021-07-14 08:22:09 012824048_001_000_0","MOVE VOTE","","20,000.00","Parameter Changes, Oracle Whitelisting, Other Changes - June 11, 2021","",""
"2021-06-16 23:11:25 012648372_007_000_1","VOTE","","20,000.00","Parameter Changes, Oracle Whitelisting, Other Changes - June 11, 2021","",""
