"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","5,039.34","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","25% of Real AAVEv2 DAI Supply30% of Real AAVEv2 DAI Supply",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","5,039.34","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","Yes",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","5,039.34","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Abstain",""
"2021-12-14 19:10:44 013805111_050_000_0","CHOOSE","","5,039.34","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","25% of Real AAVEv2 DAI Supply30% of Real AAVEv2 DAI Supply",""
"2021-12-14 19:10:44 013805111_050_000_0","CHOOSE","","5,039.34","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","Yes",""
"2021-12-14 19:10:44 013805111_050_000_0","CHOOSE","","5,039.34","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Abstain",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","5,039.34","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","5,039.34","Adjust MATIC-A System Parameters - December 06, 2021","Yes",""
"2021-12-07 01:21:53 013755674_291_000_1","VOTE","","5,039.34","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-07 01:21:53 013755674_291_000_0","MOVE VOTE","","5,039.34","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-12-07 01:21:53 013755674_230_000_0","CHOOSE","","5,039.34","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-07 01:21:53 013755674_230_000_0","CHOOSE","","5,039.34","Community Greenlight Poll - aUST (Anchor TerraUSD) - December 06, 2021","No (Defer)",""
"2021-12-07 01:21:53 013755674_230_000_0","CHOOSE","","5,039.34","Community Greenlight Poll - G-UNIv3-DAIUSDP (Gelato UniswapV3 DAI-USDP LP Token) - December 06, 2021","Abstain",""
