"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-05-23 13:03:18 012490678_056_000_1","VOTE","","17,000.00","Parameter Changes and Oracle Updates - May 14, 2021","","YES"
"2021-05-23 13:03:18 012490678_056_000_0","MOVE VOTE","","17,000.00","System Surplus Buffer Increase and Burn, Parameter Changes, YFI-A Addition to Liquidations 2.0 - April 23, 2021","",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - UNI-V2-DAI-PAX (Uniswap V2 DAI-PAX LP Token) - April 19, 2021","Yes (Greenlight)",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - MCO2 (Moss Carbon Credit) - April 19, 2021","Abstain",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - bBADGER (Badger Sett Badger) - April 19, 2021","Abstain",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - UNI-V2-GUSD-DAI (Uniswap V2 GUSD-DAI LP Token) - April 19, 2021","Yes (Greenlight)",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - rETH (Rocket Pool Staked ETH) - April 19, 2021","Abstain",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - SLP-DAI-USDC (Sushiswap DAI-USDC LP Token) - April 19, 2021","Yes (Greenlight)",""
"2021-05-03 16:00:00 012362182_000_000","FINAL_CHOICE","","17,000.00","Community Greenlight Poll - 1INCH (1inch Liquidity Protocol) - April 19, 2021","Yes (Greenlight)",""
"2021-04-24 06:39:02 012301352_181_000_0","CHOOSE","","17,000.00","Community Greenlight Poll - bBADGER (Badger Sett Badger) - April 19, 2021","Abstain",""
"2021-04-24 06:39:02 012301352_181_000_0","CHOOSE","","17,000.00","Community Greenlight Poll - MCO2 (Moss Carbon Credit) - April 19, 2021","Abstain",""
"2021-04-24 06:39:02 012301352_181_000_0","CHOOSE","","17,000.00","Community Greenlight Poll - UNI-V2-GUSD-DAI (Uniswap V2 GUSD-DAI LP Token) - April 19, 2021","Yes (Greenlight)",""
"2021-04-24 06:39:02 012301352_181_000_0","CHOOSE","","17,000.00","Community Greenlight Poll - UNI-V2-DAI-PAX (Uniswap V2 DAI-PAX LP Token) - April 19, 2021","Yes (Greenlight)",""
