"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","10,102.26","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Yes",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","10,102.26","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","Yes",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","10,102.26","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","25% of Real AAVEv2 DAI Supply30% of Real AAVEv2 DAI Supply",""
"2021-12-15 06:06:56 013808012_005_000_0","CHOOSE","","10,102.26","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Yes",""
"2021-12-15 06:06:56 013808012_005_000_0","CHOOSE","","10,102.26","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","Yes",""
"2021-12-15 06:06:56 013808012_005_000_0","CHOOSE","","10,102.26","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","25% of Real AAVEv2 DAI Supply30% of Real AAVEv2 DAI Supply",""
"2021-12-11 02:09:45 013781072_388_000_2","VOTE","","10,102.26","Parameter Changes, Switching MKR Vesting Source - December 10, 2021","",""
"2021-12-11 02:09:45 013781072_388_000_1","MOVE VOTE","","10,102.26","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-12-11 02:09:45 013781072_388_000_0","MOVE VOTE","","10,102.26","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","10,102.26","Adjust MATIC-A System Parameters - December 06, 2021","Yes",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","10,102.26","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-07 17:16:36 013759780_243_000_0","CHOOSE","","10,102.26","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-07 17:16:36 013759780_243_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - aUST (Anchor TerraUSD) - December 06, 2021","No (Defer)",""
"2021-12-07 17:16:36 013759780_243_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - G-UNIv3-DAIUSDP (Gelato UniswapV3 DAI-USDP LP Token) - December 06, 2021","Yes (Greenlight)",""
"2021-12-07 17:16:36 013759780_243_000_0","CHOOSE","","10,102.26","Adjust MATIC-A System Parameters - December 06, 2021","Yes",""
"2021-12-07 00:30:27 013755426_121_000_2","VOTE","","10,102.26","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-12-07 00:30:27 013755426_121_000_1","VOTE","","10,102.26","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-07 00:30:27 013755426_121_000_0","MOVE VOTE","","10,102.26","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","Increase the Dust Parameter for ETH-B Vault Type - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","Increase the Dust Parameter for Most Vault Types - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","Use the MakerDAO Treasury to Fund MKR Expenses - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","Add GUNIV3DAIUSDC2-A as a new Vault Type - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","One Time Payment to the GovComms CU to Deal with Budget Issues - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","Parameter Changes Proposal - MakerDAO Open Market Committee - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","10,102.26","Add CurveLP-stETH-ETH as a new Vault Type - November 29, 2021","Yes",""
