"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-12-16 05:24:19 013814278_165_001_1","DOWN-VOTE","","8,222.70","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-12-16 05:24:19 013814278_165_001_0","WITHDRAW","-2.10","8,220.61","","",""
"2021-12-13 04:43:34 013794733_067_000_000_001_1","DOWN-VOTE","","8,406.43","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-12-13 04:43:34 013794733_067_000_000_001_0","WITHDRAW","-183.73","8,222.70","","",""
"2021-12-08 18:12:46 013766305_158_001_1","DOWN-VOTE","","8,506.43","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-12-08 18:12:46 013766305_158_001_0","WITHDRAW","-100.00","8,406.43","","",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","8,506.43","Community Greenlight Poll - MDI (MD Irradiance LLC) - November 1, 2021","Yes (Greenlight)",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","8,506.43","Community Greenlight Poll - OHM (Olympus DAO) - November 1, 2021","No (Defer)",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","8,506.43","DIRECT-AAVEV2-DAI Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","8,506.43","Recognised Delegate Compensation Increase - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","8,506.43","NS-DROP Covenant Modification - November 8, 2021","No",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","8,506.43","GUNIV3DAIUSDC-A Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","8,506.43","Add WBTC-B as a new Vault Type - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","8,506.43","Increase the WSTETH-A Debt Ceiling - November 8, 2021","Yes",""
"2021-11-10 15:57:32 013589414_109_001_1","DOWN-VOTE","","8,511.07","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-10 15:57:32 013589414_109_001_0","WITHDRAW","-4.65","8,506.43","","",""
"2021-11-10 01:02:44 013585464_202_000_0","CHOOSE","","8,511.07","Recognised Delegate Compensation Increase - November 8, 2021","Yes",""
"2021-11-10 01:02:44 013585464_202_000_0","CHOOSE","","8,511.07","NS-DROP Covenant Modification - November 8, 2021","No",""
"2021-11-10 01:02:44 013585464_202_000_0","CHOOSE","","8,511.07","GUNIV3DAIUSDC-A Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-10 01:02:44 013585464_202_000_0","CHOOSE","","8,511.07","Increase the WSTETH-A Debt Ceiling - November 8, 2021","Yes",""
"2021-11-10 01:02:44 013585464_202_000_0","CHOOSE","","8,511.07","DIRECT-AAVEV2-DAI Parameter Adjustments - November 8, 2021","Yes",""
