"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","32,879.61","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Yes",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","32,879.61","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","No",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","32,879.61","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","30% of Real AAVEv2 DAI Supply25% of Real AAVEv2 DAI Supply",""
"2021-12-14 13:07:13 013803463_121_000_0","CHOOSE","","32,879.61","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Yes",""
"2021-12-14 13:07:13 013803463_121_000_0","CHOOSE","","32,879.61","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","No",""
"2021-12-14 13:07:13 013803463_121_000_0","CHOOSE","","32,879.61","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","30% of Real AAVEv2 DAI Supply25% of Real AAVEv2 DAI Supply",""
"2021-12-12 06:49:50 013788786_070_001_1","UP-VOTE","","32,879.61","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","","YES"
"2021-12-12 06:49:50 013788786_070_001_0","STAKE","19.00","32,879.61","","",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","32,860.61","Adjust MATIC-A System Parameters - December 06, 2021","Yes",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","32,860.61","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-06 23:59:29 013755297_026_000_0","CHOOSE","","32,860.61","Community Greenlight Poll - G-UNIv3-DAIUSDP (Gelato UniswapV3 DAI-USDP LP Token) - December 06, 2021","Yes (Greenlight)",""
"2021-12-06 23:59:29 013755297_026_000_0","CHOOSE","","32,860.61","Community Greenlight Poll - aUST (Anchor TerraUSD) - December 06, 2021","No (Defer)",""
"2021-12-06 23:59:29 013755297_026_000_0","CHOOSE","","32,860.61","Adjust MATIC-A System Parameters - December 06, 2021","Yes",""
"2021-12-06 23:59:29 013755297_026_000_0","CHOOSE","","32,860.61","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","Add CurveLP-stETH-ETH as a new Vault Type - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","One Time Payment to the GovComms CU to Deal with Budget Issues - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","Add GUNIV3DAIUSDC2-A as a new Vault Type - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","Use the MakerDAO Treasury to Fund MKR Expenses - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","Increase the Dust Parameter for Most Vault Types - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","Parameter Changes Proposal - MakerDAO Open Market Committee - November 29, 2021","Yes",""
"2021-12-02 16:00:00 013728245_000_000","FINAL_CHOICE","","32,860.61","Increase the Dust Parameter for ETH-B Vault Type - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","Add CurveLP-stETH-ETH as a new Vault Type - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","Parameter Changes Proposal - MakerDAO Open Market Committee - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","One Time Payment to the GovComms CU to Deal with Budget Issues - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","Add GUNIV3DAIUSDC2-A as a new Vault Type - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","Increase the Dust Parameter for ETH-B Vault Type - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","Increase the Dust Parameter for Most Vault Types - November 29, 2021","Yes",""
"2021-11-30 01:19:14 013711926_026_000_0","CHOOSE","","32,860.61","Use the MakerDAO Treasury to Fund MKR Expenses - November 29, 2021","Yes",""
"2021-11-29 16:00:00 013709502_000_000","FINAL_CHOICE","","32,860.61","Community Greenlight Poll - SB-frOGI (SolidBlock Red Frog Digital Coin) - November 15, 2021","Yes (Greenlight)",""
"2021-11-29 16:00:00 013709502_000_000","FINAL_CHOICE","","32,860.61","Community Greenlight Poll - MONETALIS (Monetalis Wholesale SME Green Growth Lending) - November 15, 2021","Yes (Greenlight)",""
"2021-11-26 19:40:12 013691679_072_000_2","VOTE","","32,860.61","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","","YES"
"2021-11-26 19:40:12 013691679_072_000_1","MOVE VOTE","","32,860.61","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-26 19:40:12 013691679_072_000_0","MOVE VOTE","","32,860.61","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-26 04:08:29 013687563_075_001_2","DOWN-VOTE","","32,868.61","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-26 04:08:29 013687563_075_001_1","DOWN-VOTE","","32,868.61","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-26 04:08:29 013687563_075_001_0","WITHDRAW","-8.00","32,860.61","","",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","32,868.61","Increase the System Surplus Buffer - November 22, 2021","Increase to 90 million by 0.67 million per weekIncrease to 130 million by 0.67 million per week",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","32,868.61","Add WBTC-C as a new Vault Type - November 22, 2021","Yes",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","32,868.61","Increase the Aave D3M Maximum Debt Ceiling - November 22, 2021","Yes",""
"2021-11-25 16:00:00 013684401_000_000","FINAL_CHOICE","","32,868.61","Add a GUSD Peg Stability Module - November 22, 2021","Yes",""
"2021-11-23 02:02:04 013668116_176_000_0","CHOOSE","","32,868.61","Increase the Aave D3M Maximum Debt Ceiling - November 22, 2021","Yes",""
"2021-11-23 02:02:04 013668116_176_000_0","CHOOSE","","32,868.61","Add WBTC-C as a new Vault Type - November 22, 2021","Yes",""
"2021-11-23 02:02:04 013668116_176_000_0","CHOOSE","","32,868.61","Increase the System Surplus Buffer - November 22, 2021","Increase to 90 million by 0.67 million per weekIncrease to 130 million by 0.67 million per week",""
"2021-11-23 02:02:04 013668116_176_000_0","CHOOSE","","32,868.61","Add a GUSD Peg Stability Module - November 22, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Adding Sidestream Auction Services Core Unit, SAS-001 - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Modify Core Unit Budget, COM-001 (MIP40c3-SP40) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Modify Core Unit Budget, RWF-001 (MIP40c3-SP39) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for the Immunefi Security Core Unit (IS-001) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Supplement to Collateral Onboarding Application (MIP6c3-SP1) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - November 8, 2021","Yes",""
"2021-11-22 16:00:00 013665411_000_000","FINAL_CHOICE","","32,868.61","Ratification Poll for Real-World Finance Core Unit MKR Compensation, RWF-001 (MIP40c3-SP38) - November 8, 2021","Yes",""
"2021-11-21 18:21:44 013659760_016_000_0","CHOOSE","","32,868.61","Ratification Poll for Modify Core Unit Budget, RWF-001 (MIP40c3-SP39) - November 8, 2021","Yes",""
"2021-11-21 18:21:44 013659760_016_000_0","CHOOSE","","32,868.61","Ratification Poll for Real-World Finance Core Unit MKR Compensation, RWF-001 (MIP40c3-SP38) - November 8, 2021","Yes",""
"2021-11-21 18:21:44 013659760_016_000_0","CHOOSE","","32,868.61","Ratification Poll for Modify Core Unit Budget, COM-001 (MIP40c3-SP40) - November 8, 2021","Yes",""
"2021-11-21 18:21:44 013659760_016_000_0","CHOOSE","","32,868.61","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - November 8, 2021","Yes",""
"2021-11-21 18:21:44 013659760_016_000_0","CHOOSE","","32,868.61","Community Greenlight Poll - MONETALIS (Monetalis Wholesale SME Green Growth Lending) - November 15, 2021","Yes (Greenlight)",""
"2021-11-21 18:21:44 013659760_016_000_0","CHOOSE","","32,868.61","Community Greenlight Poll - SB-frOGI (SolidBlock Red Frog Digital Coin) - November 15, 2021","Yes (Greenlight)",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","32,868.61","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","32,868.61","Rates Proposal - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","32,868.61","Offboard the AAVE-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","32,868.61","Offboard the BAL-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","32,868.61","Offboard the COMP-A Vault Type - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","32,868.61","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","No",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Rates Proposal - November 15, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","No",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Offboard the AAVE-A Vault Type - November 15, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Offboard the BAL-A Vault Type - November 15, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Offboard the COMP-A Vault Type - November 15, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Ratification Poll for Supplement to Collateral Onboarding Application (MIP6c3-SP1) - November 8, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Ratification Poll for Adding Sidestream Auction Services Core Unit, SAS-001 - November 8, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Ratification Poll for the Immunefi Security Core Unit (IS-001) - November 8, 2021","Yes",""
"2021-11-15 22:08:14 013622853_042_000_0","CHOOSE","","32,868.61","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - November 8, 2021","Yes",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","32,868.61","Community Greenlight Poll - OHM (Olympus DAO) - November 1, 2021","Yes (Greenlight)",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","32,868.61","Community Greenlight Poll - MDI (MD Irradiance LLC) - November 1, 2021","Yes (Greenlight)",""
"2021-11-13 23:07:12 013610481_128_000_000_001_2","UP-VOTE","","32,868.61","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-13 23:07:12 013610481_128_000_000_001_1","UP-VOTE","","32,868.61","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-13 23:07:12 013610481_128_000_000_001_0","STAKE","8,625.59","32,868.61","","",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","24,243.02","Add WBTC-B as a new Vault Type - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","24,243.02","Recognised Delegate Compensation Increase - November 8, 2021","Abstain",""
