"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-12-17 10:00:11 013821999_279_001_2","UP-VOTE","","20,340.28","Parameter Changes, Switching MKR Vesting Source - December 10, 2021","",""
"2021-12-17 10:00:11 013821999_279_001_1","UP-VOTE","","20,340.28","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-17 10:00:11 013821999_279_001_0","STAKE","56.70","20,340.28","","",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","20,283.58","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Yes",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","20,283.58","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","Yes",""
"2021-12-16 16:00:00 013817138_000_000","FINAL_CHOICE","","20,283.58","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","30% of Real AAVEv2 DAI Supply25% of Real AAVEv2 DAI Supply",""
"2021-12-14 08:23:58 013802181_169_000_0","CHOOSE","","20,283.58","DAI Direct Deposit Module (D3M) Debt Ceiling Targeting - December 13, 2021","30% of Real AAVEv2 DAI Supply25% of Real AAVEv2 DAI Supply",""
"2021-12-14 08:23:58 013802181_169_000_0","CHOOSE","","20,283.58","Recognised Delegate Compensation Trial Performance Modifier - December 13, 2021","Yes",""
"2021-12-14 08:23:58 013802181_169_000_0","CHOOSE","","20,283.58","DAI Direct Deposit Module (D3M) Net Rates Spread - December 13, 2021","Yes",""
"2021-12-14 08:23:58 013802181_169_000_0","CHOOSE","","20,283.58","Community Greenlight Poll - aUST (Anchor TerraUSD) - December 06, 2021","No (Defer)",""
"2021-12-10 21:33:12 013779859_100_000_3","VOTE","","20,283.58","Parameter Changes, Switching MKR Vesting Source - December 10, 2021","",""
"2021-12-10 21:33:12 013779859_100_000_2","VOTE","","20,283.58","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-10 21:33:12 013779859_100_000_1","MOVE VOTE","","20,283.58","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-12-10 21:33:12 013779859_100_000_0","MOVE VOTE","","20,283.58","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","20,283.58","Adjust MATIC-A System Parameters - December 06, 2021","Yes",""
"2021-12-09 16:00:00 013771945_000_000","FINAL_CHOICE","","20,283.58","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-06 23:34:18 013755187_145_000_3","VOTE","","20,283.58","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-12-06 23:34:18 013755187_145_000_2","VOTE","","20,283.58","Parameter Changes, Delegate Compensation, Vault Onboarding - December 3, 2021","",""
"2021-12-06 23:34:18 013755187_145_000_1","MOVE VOTE","","20,283.58","Onboarding New Vault Types, Parameter Changes, and Core Unit Budget Distributions - November 26, 2021","",""
"2021-12-06 23:34:18 013755187_145_000_0","MOVE VOTE","","20,283.58","Template - [Executive Proposal] Onboarding WBTC-B, Increasing WBTC-A Stability Fee, Change of Covenants for P1-DROP, Offboarding Collaterals - November 19, 2021.","",""
"2021-12-06 19:07:58 013754033_169_000_0","CHOOSE","","20,283.58","Adjust wstETH-A System Parameters - December 06, 2021","Yes",""
"2021-12-06 19:07:58 013754033_169_000_0","CHOOSE","","20,283.58","Community Greenlight Poll - G-UNIv3-DAIUSDP (Gelato UniswapV3 DAI-USDP LP Token) - December 06, 2021","Yes (Greenlight)",""
