"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,976.20","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,976.20","Rates Proposal - November 15, 2021","Yes",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,976.20","Offboard the AAVE-A Vault Type - November 15, 2021","No",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,976.20","Offboard the BAL-A Vault Type - November 15, 2021","No",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,976.20","Offboard the COMP-A Vault Type - November 15, 2021","No",""
"2021-11-18 16:00:00 013640264_000_000","FINAL_CHOICE","","5,976.20","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Yes",""
"2021-11-18 13:33:25 013639626_141_000_0","CHOOSE","","5,976.20","Offboard the COMP-A Vault Type - November 15, 2021","No",""
"2021-11-18 13:33:25 013639626_141_000_0","CHOOSE","","5,976.20","Local Liquidation Limit Adjustments for ETH-A, ETH-B, ETH-C, WBTC-A and WSTETH-A - November 15, 2021","Yes",""
"2021-11-18 13:33:25 013639626_141_000_0","CHOOSE","","5,976.20","Offboard the BAL-A Vault Type - November 15, 2021","No",""
"2021-11-18 13:33:25 013639626_141_000_0","CHOOSE","","5,976.20","Offboard the AAVE-A Vault Type - November 15, 2021","No",""
"2021-11-18 13:33:25 013639626_141_000_0","CHOOSE","","5,976.20","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Yes",""
"2021-11-18 13:33:25 013639626_141_000_0","CHOOSE","","5,976.20","Rates Proposal - November 15, 2021","Yes",""
"2021-11-08 11:12:54 013575412_145_000_1","VOTE","","5,976.20","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-08 11:12:54 013575412_145_000_0","MOVE VOTE","","5,976.20","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-28 18:04:41 013507245_298_000_1","VOTE","","5,976.20","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-28 18:04:41 013507245_298_000_0","MOVE VOTE","","5,976.20","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Adding MakerLabs Core Unit (SNUNK-001) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Adding Data Insights Core Unit (DIN-001) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","Abstain",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","5,976.20","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-10-18 16:00:00 013442748_000_000","FINAL_CHOICE","","5,976.20","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Yes (Greenlight)",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","5,976.20","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
