"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","7,119.00","Increase the System Surplus Buffer - September 20, 2021","No",""
"2021-09-22 18:43:59 013277196_014_000_0","CHOOSE","","7,119.00","Increase the System Surplus Buffer - September 20, 2021","No",""
"2021-08-17 17:14:30 013044000_010_000_1","VOTE","","7,119.00","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-17 17:14:30 013044000_010_000_0","MOVE VOTE","","7,119.00","Centrifuge Asset Onboarding - July 23, 2021","",""
"2021-08-17 14:59:23 013043397_009_000_1","UP-VOTE","","7,119.00","Centrifuge Asset Onboarding - July 23, 2021","",""
"2021-08-17 14:59:23 013043397_009_000_0","STAKE","5,000.00","7,119.00","","",""
"2021-08-02 15:17:01 012946684_009_000_1","VOTE","","2,119.00","Centrifuge Asset Onboarding - July 23, 2021","",""
"2021-08-02 15:17:01 012946684_009_000_0","MOVE VOTE","","2,119.00","FLAP Auction Adjustment and RWA-02 (NS-DROP) Debt Ceiling Increase - July 17, 2021","",""
"2021-07-22 19:50:01 012878146_005_000_1","VOTE","","2,119.00","FLAP Auction Adjustment and RWA-02 (NS-DROP) Debt Ceiling Increase - July 17, 2021","",""
"2021-07-22 19:50:01 012878146_005_000_0","MOVE VOTE","","2,119.00","Rates Changes, July Core Unit Budgets, and PSM DC-IAM - July 2, 2021","",""
"2021-07-15 04:10:00 012829298_010_000_1","VOTE","","2,119.00","Rates Changes, July Core Unit Budgets, and PSM DC-IAM - July 2, 2021","",""
"2021-07-15 04:10:00 012829298_010_000_0","MOVE VOTE","","2,119.00","Add Oracles, Lower the Base Rate, raise the WBTC and USDC Debt Ceiling and Risk Premiums","",""
"2021-05-25 13:39:47 012503820_019_000_1","UP-VOTE","","2,119.00","Add Oracles, Lower the Base Rate, raise the WBTC and USDC Debt Ceiling and Risk Premiums","",""
"2021-05-25 13:39:47 012503820_019_000_0","STAKE","2,119.00","2,119.00","","",""
"2020-08-03 16:00:00 010587757_000_000","FINAL_CHOICE","","0.00","MIP9 Community Greenlight Poll - COMP (Compound) - July 20, 2020","Yes (Greenlight)",""
"2020-07-20 19:06:22 010498132_028_000_0","CHOOSE","","0.00","MIP9 Community Greenlight Poll - COMP (Compound) - July 20, 2020","Yes (Greenlight)",""
"2020-07-04 03:34:14 010390537_013_000_1","VOTE","","0.00","Add Oracles, Lower the Base Rate, raise the WBTC and USDC Debt Ceiling and Risk Premiums","",""
"2020-07-04 03:34:14 010390537_013_000_0","MOVE VOTE","","0.00","0x43aac7f1b47ff29d33dec14dcaa7901d1bb8c006","",""
"2020-06-01 16:33:59 010181046_114_000_1","VOTE","","0.00","0x43aac7f1b47ff29d33dec14dcaa7901d1bb8c006","",""
"2020-06-01 16:33:59 010181046_114_000_0","MOVE VOTE","","0.00","0x872c49c9e90e4ac7f84452ca52161fddc849246e","",""
"2020-05-07 16:00:00 010020061_000_000","FINAL_CHOICE","","0.00","USDC Stability Fee Adjustment - May 4, 2020","0",""
"2020-05-07 04:14:32 010016914_069_000_0","CHOOSE","","0.00","USDC Stability Fee Adjustment - May 4, 2020","0",""
"2020-05-01 18:49:48 009982031_098_000_1","VOTE","","0.00","0x872c49c9e90e4ac7f84452ca52161fddc849246e","",""
"2020-05-01 18:49:48 009982031_098_000_0","MOVE VOTE","","0.00","0xf880d43bb9a32dd212c77b82a7336be31ecaee08","",""
"2020-04-30 16:00:00 009974882_000_000","FINAL_CHOICE","","0.00","USDC Stability Fee Adjustment - April 27, 2020","0",""
"2020-04-30 14:36:55 009974509_116_000_0","CHOOSE","","0.00","USDC Stability Fee Adjustment - April 27, 2020","0",""
"2020-02-02 21:23:50 009405520_067_000_1","DOWN-VOTE","","3,444.63","0xf880d43bb9a32dd212c77b82a7336be31ecaee08","",""
"2020-02-02 21:23:50 009405520_067_000_0","WITHDRAW","-3,444.63","0.00","","",""
"2020-01-25 02:14:25 009348240_011_000_1","VOTE","","3,444.63","0xf880d43bb9a32dd212c77b82a7336be31ecaee08","",""
"2020-01-25 02:14:25 009348240_011_000_0","MOVE VOTE","","3,444.63","0x333c0501182170c5002219380ded6b12c338e272","",""
"2020-01-24 19:04:17 009346267_010_000_1","UP-VOTE","","3,444.63","0x333c0501182170c5002219380ded6b12c338e272","","YES"
"2020-01-24 19:04:17 009346267_010_000_0","STAKE","2,384.63","3,444.63","","",""
"2020-01-06 15:08:52 009227659_178_000_0","VOTE","","1,060.00","0x333c0501182170c5002219380ded6b12c338e272","",""
"2020-01-05 17:55:10 009221862_015_000_0","STAKE","1,059.90","1,060.00","","",""
"2019-11-14 17:33:39 008933681_016_000_0","STAKE","0.10","0.10","","",""
